,6c_model,6b_model,epochs,hidden_neurons,hidden_layers,activation,regularization,random_state_trainsplit,random_WeightInit,acc_train,mse_train,mae_train,rmse_train,ia_train,acc_test,mse_test,mae_test,rmse_test,ia_test
model69,model255,model788,100,100,3,relu,0.1,8,36,0.8424513534249496,104.17444095675434,6.901496923367294,10.206588115367168,0.956,0.8020499670035572,129.97844558451587,7.574219771700542,11.400808988160264,0.944
model70,model255,model788,100,100,3,relu,0.1,8,38,0.8371548998381022,107.67656619526214,6.870542748231874,10.376731961232407,0.953,0.8053287939133023,127.82549406125445,7.481717245430973,11.305993722855787,0.943
model71,model255,model788,100,100,3,relu,0.1,8,40,0.8177658401665572,120.49701559847658,7.179247934274335,10.977113263443927,0.947,0.7961689997201623,133.84002102584358,7.594261913849123,11.568924799904423,0.941
model72,model255,model788,100,100,3,relu,0.1,8,42,0.8447642748864823,102.64508919480654,6.902455868196255,10.131391276365084,0.958,0.7918471290057922,136.67785857993562,7.632131783902007,11.69093061222825,0.943
model73,model255,model788,100,100,3,relu,0.1,8,44,0.8331997891149994,110.29176764229595,6.898084274702449,10.501988747008633,0.95,0.788984348428875,138.5576247199288,7.627621910637497,11.771050281089144,0.937
model74,model255,model788,100,100,3,relu,0.1,8,46,0.838330582866191,106.89918013161763,7.100148526023758,10.339205972008568,0.958,0.8017810138268937,130.1550462918185,7.7582203187684184,11.408551454580836,0.948
model75,model255,model788,100,100,3,relu,0.1,8,48,0.8429004073129762,103.87751718900658,6.876051969560619,10.192032044151283,0.956,0.7960280913208089,133.93254465132878,7.582258359919112,11.572922908726593,0.942
model76,model255,model788,100,100,3,relu,0.1,8,50,0.8287204119175037,113.25362498304605,7.095071399645551,10.642068642094264,0.951,0.7874862571009832,139.54130519320515,7.6881000881892,11.812760269860942,0.939
model77,model255,model788,100,100,3,relu,0.1,8,52,0.8314319749450954,111.46068312883719,6.940996806985003,10.557494169017437,0.95,0.7982173176590847,132.49504937954535,7.547820813507193,11.51064939000165,0.939
model78,model255,model788,100,100,3,relu,0.1,8,54,0.8222368879524915,117.5406658378408,7.510565304145593,10.841617307295106,0.953,0.7837878277874988,141.96977709590774,8.221600860286422,11.915107095444327,0.943
model79,model255,model788,100,100,3,relu,0.1,8,56,0.8204835396508825,118.70001619148272,7.509446070250353,10.894953703044484,0.952,0.7889524830220058,138.57854826305768,8.030485945196936,11.771939018830231,0.944
model80,model255,model788,100,100,3,relu,0.1,8,58,0.8427173065302693,103.99858723366829,6.837234421523946,10.197969760382126,0.955,0.7974177481465548,133.02006471196145,7.506929692429773,11.533432477452731,0.941
model81,model255,model788,100,100,3,relu,0.1,8,60,0.8433446396359197,103.58378154034448,6.833402352466261,10.177611779801019,0.955,0.8064703452434351,127.07592577273455,7.458763215693098,11.272795827687759,0.944
model82,model255,model788,100,100,3,relu,0.1,8,62,0.8451211803149558,102.4090959045186,6.888424394185665,10.119737936553426,0.958,0.7990713591923362,131.93426649269108,7.671878193167204,11.486264253128216,0.945
model83,model255,model788,100,100,3,relu,0.1,8,64,0.8393350710758033,106.23499164153012,6.931119795200473,10.307036026013012,0.954,0.8008041123592826,130.79650177594863,7.622884732575616,11.436629825956098,0.942
model84,model255,model788,100,100,3,relu,0.1,8,66,0.8364819481636,108.12153583483807,7.011796464943146,10.398150596853176,0.954,0.8049712642130253,128.06025610695272,7.54177512616683,11.316371154524436,0.945
model85,model255,model788,100,100,3,relu,0.1,8,68,0.8561986013909265,95.08447476102876,6.615622464844006,9.751126845705,0.959,0.8025491419033896,129.65067611374155,7.540706714118877,11.386425080495702,0.944
model86,model255,model788,100,100,3,relu,0.1,8,70,0.8245329603550362,116.0224550240311,7.1525016039680285,10.771372012145486,0.951,0.7859341250218366,140.5604700396842,7.749574779825326,11.855820091401698,0.939
model87,model255,model788,100,100,3,relu,0.1,8,72,0.8300817163552545,112.35350218378673,6.965351003302318,10.599693494803835,0.95,0.8034562997147251,129.05501588356938,7.473664583385783,11.360238372656156,0.942
model88,model255,model788,100,100,3,relu,0.1,8,74,0.8408578886724161,105.2280729833576,6.8885246698273495,10.258073551274508,0.956,0.7965893227305649,133.56402747985354,7.654546196241852,11.556990416187665,0.943
model89,model255,model788,100,100,3,relu,0.1,8,76,0.8425823420817475,104.0878285332887,6.870296251741783,10.20234426655407,0.954,0.807611165851172,126.32683729298127,7.520187701412687,11.23952122169718,0.944
model90,model255,model788,100,100,3,relu,0.1,8,78,0.8390352432394594,106.4332440411121,6.912412994918436,10.31664887650598,0.956,0.7989579116677699,132.0087586899154,7.537495140550008,11.489506459805634,0.944
model91,model255,model788,100,100,3,relu,0.1,8,80,0.8313026450284684,111.5461987588123,7.042696991462552,10.561543389051256,0.952,0.7852852415764449,140.98654150994793,7.720392787221171,11.873775368851641,0.937
model92,model255,model788,100,100,3,relu,0.1,8,82,0.8224202066411754,117.4194517092162,7.242329062048405,10.836025641775503,0.95,0.7914246273478611,136.9552826749129,7.674293872390828,11.702789525361588,0.941
model93,model255,model788,100,100,3,relu,0.1,8,84,0.8391906451320603,106.33048907851959,6.8774434210090245,10.311667618698714,0.954,0.790761346820039,137.3908075934379,7.655543238761706,11.72138249497208,0.94
model94,model255,model788,100,100,3,relu,0.1,8,86,0.8245890506467636,115.98536695687959,7.094704996088203,10.769650270871361,0.946,0.7867109125697016,140.0504138578662,7.711014058234972,11.834289748770992,0.934
model95,model255,model788,100,100,3,relu,0.1,8,88,0.8413396759878036,104.90950519282669,6.971299610843043,10.242534119680865,0.957,0.7903058219600133,137.6899154659398,7.691911469251323,11.73413462791099,0.942
model96,model255,model788,100,100,3,relu,0.1,8,90,0.8166000425966096,121.26786519165398,7.244157660101986,11.012168959458167,0.945,0.7785481454031822,145.41027044345006,7.809936766225714,12.058618098416172,0.932
model97,model255,model788,100,100,3,relu,0.1,8,92,0.845484302449474,102.16899199893258,6.735404382616836,10.107867826546437,0.957,0.7927624705621132,136.07682471866988,7.58351921134809,11.665197157299566,0.943
model98,model255,model788,100,100,3,relu,0.1,8,94,0.8278212159033251,113.84819208421733,7.093265845641697,10.66996682676274,0.95,0.7722930605870122,149.51749987452422,7.905109905046325,12.227734862783223,0.932
model99,model255,model788,100,100,3,relu,0.1,8,96,0.8441671729496577,103.039905410719,6.758551873025501,10.150857373183754,0.956,0.8001223100646354,131.24418850331483,7.555441441677241,11.456185600072777,0.943
model100,model255,model788,100,100,3,relu,0.1,8,98,0.8359224279786442,108.49150221499364,6.874468374558451,10.415925413279112,0.951,0.7935210067056091,135.5787528196214,7.580597544567648,11.6438289587069,0.938
model101,model111,model732,100,75,5,relu,0.1,20,0,0.8316261409207155,112.20397546510748,7.302449117481083,10.592637795426947,0.954,0.7915951948592819,132.4530570994999,7.783625989115428,11.508825183288687,0.942
model102,model111,model732,100,75,5,relu,0.1,20,2,0.8389038126389108,107.35415077511819,6.943876828164235,10.361184815218682,0.953,0.7969316281579967,129.06145149834748,7.4299096244544325,11.360521620874081,0.939
model103,model111,model732,100,75,5,relu,0.1,20,4,0.836568254501761,108.91056166544942,6.9555727833248255,10.436022310509374,0.952,0.7950479287078838,130.258649186067,7.428913942126226,11.41309113194436,0.939
model104,model111,model732,100,75,5,relu,0.1,20,6,0.8278197432406608,114.7405506451192,7.26615417523413,10.71170157561903,0.954,0.7884224054355022,134.46954447573304,7.6815038434819,11.59610039951936,0.942
model105,model111,model732,100,75,5,relu,0.1,20,8,0.8436999967717158,104.15798404409385,6.830543149448636,10.20578189283378,0.956,0.7948415380008199,130.38982216976606,7.441077227673082,11.418836287895806,0.941
model106,model111,model732,100,75,5,relu,0.1,20,10,0.8369217415219595,108.67499867985009,7.153456271657833,10.42473014901825,0.956,0.7918078331042582,132.3179134516154,7.697880693601058,11.502952379785608,0.942
model107,model111,model732,100,75,5,relu,0.1,20,12,0.8167856853310818,122.09362296725439,7.464323282470585,11.049598317009284,0.953,0.7813470071814692,138.9663607958287,7.810927177778352,11.788399416198482,0.943
model108,model111,model732,100,75,5,relu,0.1,20,14,0.8354054571471736,109.68544730719009,7.152879109256414,10.473082034778018,0.955,0.7908089181888106,132.95278045597252,7.59958296583384,11.53051518606053,0.942
model109,model111,model732,100,75,5,relu,0.1,20,16,0.844502618348122,103.62311876180296,6.728961412129963,10.179544133300025,0.955,0.7937033654688636,131.1131952765546,7.449264774561752,11.450467033119418,0.939
model110,model111,model732,100,75,5,relu,0.1,20,18,0.8251767519482867,116.50183432505433,7.074189049042316,10.793601545594239,0.949,0.7877495502068844,134.89718208205227,7.476967612698043,11.614524617135746,0.936
model111,model111,model732,100,75,5,relu,0.1,20,20,0.8040286463295364,130.59488616193354,7.44772931326263,11.427811958635544,0.942,0.7832460346433824,137.75942128847677,7.670148797505901,11.73709594782614,0.935
model112,model111,model732,100,75,5,relu,0.1,20,22,0.8309384421747427,112.66225642179793,7.3831934063859475,10.614247802920277,0.955,0.7703250518173772,145.97143768070416,8.035409220206784,12.081863998601547,0.938
model113,model111,model732,100,75,5,relu,0.1,20,24,0.8277341636969269,114.79758066793833,7.093840938234807,10.714363288032487,0.948,0.7800546256793046,139.7877424371251,7.6861826324150835,11.823186644772427,0.932
model114,model111,model732,100,75,5,relu,0.1,20,26,0.8396252519723572,106.87338516392278,7.038965684866994,10.337958462091187,0.957,0.7901869679428399,133.3480650627117,7.602640033008357,11.547643268767516,0.942
model115,model111,model732,100,75,5,relu,0.1,20,28,0.8281989197386537,114.48786824708905,7.24424947979062,10.699900384914294,0.953,0.7847503090428456,136.8033697099593,7.745830250604654,11.696297264944976,0.941
model116,model111,model732,100,75,5,relu,0.1,20,30,0.8305503768376281,112.92086232299044,7.123203388433426,10.626422837577584,0.953,0.7872890541503992,135.18985340708508,7.596869303653552,11.627117158052767,0.94
model117,model111,model732,100,75,5,relu,0.1,20,32,0.8244387282073414,116.99365174953167,7.169653338551548,10.816360374429639,0.948,0.7821853365637104,138.4335549929145,7.6357626924946445,11.765778979435,0.934
model118,model111,model732,100,75,5,relu,0.1,20,34,0.8324548812258249,111.65170471850863,7.08445891452814,10.566537025842885,0.955,0.7945810531184844,130.5553750655846,7.482862136035892,11.426083102515253,0.944
model119,model111,model732,100,75,5,relu,0.1,20,36,0.8193201249965318,120.40467785668325,7.584326913329497,10.972906536405167,0.954,0.7716598946602624,145.12306945249483,8.03055201755136,12.046703675798407,0.941
model120,model111,model732,100,75,5,relu,0.1,20,38,0.8259809171294012,115.96594038792486,7.0646545018662605,10.76874832039104,0.948,0.7953573113210967,130.06201901285286,7.405149445345653,11.404473640324348,0.938
model121,model111,model732,100,75,5,relu,0.1,20,40,0.8290757439007168,113.90355452223095,7.03633412788411,10.672560823074795,0.949,0.7820140669254104,138.54240654826052,7.561188527197214,11.770403839642059,0.934
model122,model111,model732,100,75,5,relu,0.1,20,42,0.8308404968339668,112.7275269850162,7.099263529473388,10.617322025116136,0.954,0.7953846218629643,130.04466161670754,7.531735048153643,11.403712624260029,0.942
model123,model111,model732,100,75,5,relu,0.1,20,44,0.8129942074410329,124.62025563148059,7.250112927755572,11.163344285270458,0.943,0.789834215979599,133.5722589141805,7.477302968108075,11.557346534312298,0.935
model124,model111,model732,100,75,5,relu,0.1,20,46,0.8254278431557545,116.33450768755672,7.414377726363772,10.785847564635647,0.955,0.7900721775104583,133.42102088388123,7.8111973247136275,11.55080174203857,0.944
model125,model111,model732,100,75,5,relu,0.1,20,48,0.8401815095766262,106.50269629973104,7.0031632459812405,10.32001435559714,0.955,0.7917027100535778,132.38472510418177,7.532455873908919,11.505856122174558,0.94
