,epochs,hidden_neurons,hidden_layers,activation,regularization,acc_train,mse_train,mae_train,rmse_train,std_res_train,ia_train,acc_test,mse_test,mae_test,rmse_test,std_res_test,ia_test
model650,100,50,3,relu,0.01,0.821,118.885,7.489,10.903,10.757,0.951,0.776,143.427,7.923,11.976,11.879,0.938
model651,100,50,3,relu,0.005,0.824,116.884,7.152,10.811,10.785,0.948,0.782,139.39,7.584,11.806,11.767,0.935
model652,100,50,4,relu,1,0.819,120.666,7.279,10.985,10.985,0.949,0.781,140.199,7.674,11.841,11.837,0.939
model653,100,50,4,relu,0.75,0.835,109.659,7.114,10.472,10.466,0.953,0.785,137.425,7.595,11.723,11.722,0.938
model654,100,50,4,relu,0.5,0.836,109.424,7.126,10.461,10.456,0.954,0.785,137.364,7.744,11.72,11.72,0.94
model655,100,50,4,relu,0.1,0.834,110.424,7.027,10.508,10.508,0.952,0.783,139.238,7.576,11.8,11.796,0.937
model656,100,50,4,relu,0.05,0.827,115.274,7.269,10.737,10.678,0.953,0.777,142.9,7.743,11.954,11.912,0.939
model657,100,50,4,relu,0.01,0.829,113.514,7.12,10.654,10.562,0.949,0.774,144.446,7.76,12.019,11.907,0.932
model658,100,50,4,relu,0.005,0.819,120.238,7.173,10.965,10.89,0.945,0.779,141.271,7.618,11.886,11.782,0.933
model659,100,50,5,relu,1,0.828,114.561,7.1,10.703,10.679,0.951,0.785,137.685,7.591,11.734,11.696,0.939
model660,100,50,5,relu,0.75,0.833,110.968,7.114,10.534,10.533,0.952,0.785,137.666,7.591,11.733,11.732,0.936
model661,100,50,5,relu,0.5,0.834,110.443,7.161,10.509,10.479,0.955,0.79,134.243,7.666,11.586,11.575,0.942
model662,100,50,5,relu,0.1,0.831,112.16,7.085,10.591,10.588,0.953,0.784,138.27,7.656,11.759,11.759,0.94
model663,100,50,5,relu,0.05,0.824,117.202,7.255,10.826,10.812,0.951,0.787,136.214,7.747,11.671,11.665,0.941
model664,100,50,5,relu,0.01,0.835,109.958,6.962,10.486,10.397,0.951,0.785,137.484,7.537,11.725,11.617,0.936
model665,100,50,5,relu,0.005,0.83,113.027,7.036,10.631,10.486,0.949,0.785,137.42,7.576,11.723,11.573,0.935
model666,100,50,6,relu,1,0.827,115.346,7.075,10.74,10.648,0.948,0.776,143.72,7.638,11.988,11.873,0.932
model667,100,50,6,relu,0.75,0.832,111.68,6.963,10.568,10.408,0.951,0.781,140.177,7.631,11.84,11.652,0.935
model668,100,50,6,relu,0.5,0.828,114.316,7.074,10.692,10.662,0.951,0.788,135.617,7.527,11.645,11.603,0.939
model669,100,50,6,relu,0.1,0.835,109.957,6.976,10.486,10.38,0.951,0.781,140.157,7.561,11.839,11.726,0.935
model670,100,50,6,relu,0.05,0.834,110.661,7.012,10.52,10.509,0.954,0.779,141.649,7.646,11.902,11.88,0.938
model671,100,50,6,relu,0.01,0.815,122.933,7.232,11.088,10.923,0.944,0.773,145.478,7.776,12.061,11.884,0.93
model672,100,50,6,relu,0.005,0.831,112.3,7.037,10.597,10.566,0.951,0.786,136.896,7.554,11.7,11.659,0.938
model673,100,50,7,relu,1,0.833,110.864,7.067,10.529,10.524,0.955,0.774,144.535,7.726,12.022,12.022,0.938
model674,100,50,7,relu,0.75,0.83,112.975,7.325,10.629,10.451,0.954,0.784,138.132,7.906,11.753,11.65,0.941
model675,100,50,7,relu,0.5,0.824,116.813,7.175,10.808,10.778,0.949,0.757,155.401,7.719,12.466,12.427,0.93
model676,100,50,7,relu,0.1,0.816,122.25,7.585,11.057,10.869,0.951,0.77,147.277,8.056,12.136,12.008,0.938
model677,100,50,7,relu,0.05,0.813,124.155,7.262,11.142,11.008,0.944,0.774,144.588,7.616,12.024,11.867,0.932
model678,100,50,7,relu,0.01,0.829,113.537,7.054,10.655,10.621,0.95,0.783,139.174,7.604,11.797,11.745,0.936
model679,100,50,7,relu,0.005,0.829,113.451,7.022,10.651,10.531,0.949,0.781,140.078,7.609,11.835,11.688,0.934
model680,100,50,8,relu,1,0.814,124.07,7.277,11.139,11.089,0.944,0.779,141.421,7.59,11.892,11.817,0.933
model681,100,50,8,relu,0.75,0.836,108.86,7.297,10.434,10.234,0.955,0.784,138.16,7.942,11.754,11.626,0.939
model682,100,50,8,relu,0.5,0.836,108.833,7.0,10.432,10.429,0.953,0.784,138.439,7.601,11.766,11.758,0.937
model683,100,50,8,relu,0.1,0.823,118.02,7.158,10.864,10.781,0.948,0.78,141.179,7.594,11.882,11.777,0.935
model684,100,50,8,relu,0.05,0.819,120.225,7.411,10.965,10.919,0.95,0.776,143.302,7.92,11.971,11.945,0.937
model685,100,50,8,relu,0.01,0.835,109.965,7.191,10.486,10.42,0.955,0.781,140.23,7.756,11.842,11.803,0.94
model686,100,50,8,relu,0.005,0.827,115.03,7.244,10.725,10.674,0.952,0.785,137.809,7.682,11.739,11.721,0.939
model687,100,50,9,relu,1,0.835,109.475,7.034,10.463,10.448,0.955,0.782,139.863,7.777,11.826,11.822,0.939
model688,100,50,9,relu,0.75,0.817,121.881,7.652,11.04,10.688,0.953,0.753,158.381,8.234,12.585,12.326,0.936
model689,100,50,9,relu,0.5,0.833,111.346,7.133,10.552,10.517,0.955,0.783,138.842,7.712,11.783,11.769,0.94
model690,100,50,9,relu,0.1,0.845,102.949,6.833,10.146,10.14,0.956,0.783,139.061,7.61,11.792,11.779,0.937
model691,100,50,9,relu,0.05,0.83,112.942,7.203,10.627,10.611,0.954,0.778,142.436,7.763,11.935,11.931,0.939
model692,100,50,9,relu,0.01,0.821,119.244,7.429,10.92,10.809,0.952,0.774,144.543,7.986,12.023,11.941,0.939
model693,100,50,9,relu,0.005,0.83,113.259,7.06,10.642,10.595,0.951,0.787,136.097,7.545,11.666,11.599,0.938
model694,100,50,10,relu,1,0.821,118.97,7.245,10.907,10.864,0.947,0.774,144.744,7.704,12.031,11.969,0.932
model695,100,50,10,relu,0.75,0.828,114.124,7.243,10.683,10.661,0.951,0.782,139.521,7.826,11.812,11.8,0.938
model696,100,50,10,relu,0.5,0.837,108.13,6.883,10.399,10.282,0.951,0.775,143.79,7.651,11.991,11.859,0.931
model697,100,50,10,relu,0.1,0.821,119.398,7.228,10.927,10.904,0.947,0.767,149.457,7.805,12.225,12.184,0.93
model698,100,50,10,relu,0.05,0.838,107.995,7.031,10.392,10.39,0.955,0.774,144.773,7.747,12.032,12.032,0.937
model699,100,50,10,relu,0.01,0.834,110.582,7.0,10.516,10.516,0.952,0.785,137.524,7.647,11.727,11.724,0.937
model700,100,50,10,relu,0.005,0.838,107.633,6.897,10.375,10.306,0.953,0.782,139.781,7.534,11.823,11.736,0.935
model701,100,75,1,relu,1,0.8,132.809,7.733,11.524,11.475,0.944,0.776,143.169,7.937,11.965,11.934,0.937
model702,100,75,1,relu,0.75,0.811,125.68,7.478,11.211,11.209,0.946,0.786,137.231,7.678,11.715,11.714,0.938
model703,100,75,1,relu,0.5,0.802,131.672,7.699,11.475,11.438,0.944,0.775,143.787,7.947,11.991,11.97,0.937
model704,100,75,1,relu,0.1,0.807,128.522,7.553,11.337,11.335,0.945,0.782,139.73,7.775,11.821,11.814,0.938
model705,100,75,1,relu,0.05,0.808,128.053,7.592,11.316,11.294,0.946,0.782,139.432,7.789,11.808,11.8,0.939
model706,100,75,1,relu,0.01,0.803,130.85,7.737,11.439,11.368,0.945,0.779,141.247,7.922,11.885,11.844,0.939
model707,100,75,1,relu,0.005,0.804,130.122,7.586,11.407,11.397,0.943,0.779,141.759,7.844,11.906,11.903,0.936
model708,100,75,2,relu,1,0.823,118.039,7.24,10.865,10.861,0.95,0.78,140.695,7.712,11.861,11.85,0.938
model709,100,75,2,relu,0.75,0.832,111.508,7.104,10.56,10.531,0.951,0.794,131.709,7.567,11.476,11.429,0.94
model710,100,75,2,relu,0.5,0.83,113.151,7.135,10.637,10.637,0.953,0.79,134.594,7.576,11.601,11.601,0.941
model711,100,75,2,relu,0.1,0.833,110.805,7.009,10.526,10.446,0.952,0.782,139.573,7.67,11.814,11.73,0.936
model712,100,75,2,relu,0.05,0.828,114.416,7.258,10.697,10.651,0.952,0.783,139.147,7.654,11.796,11.77,0.939
model713,100,75,2,relu,0.01,0.829,113.479,7.135,10.653,10.6,0.952,0.773,145.058,7.783,12.044,11.984,0.936
model714,100,75,2,relu,0.005,0.833,111.179,7.127,10.544,10.544,0.953,0.787,136.645,7.621,11.69,11.689,0.939
model715,100,75,3,relu,1,0.837,108.261,7.091,10.405,10.384,0.954,0.778,142.349,7.754,11.931,11.923,0.937
model716,100,75,3,relu,0.75,0.846,102.583,6.871,10.128,10.128,0.957,0.784,138.242,7.533,11.758,11.756,0.939
model717,100,75,3,relu,0.5,0.824,117.235,7.177,10.828,10.679,0.949,0.768,148.429,7.788,12.183,12.036,0.932
model718,100,75,3,relu,0.1,0.838,107.674,6.882,10.377,10.201,0.952,0.789,135.119,7.492,11.624,11.44,0.937
model719,100,75,3,relu,0.05,0.829,114.066,7.193,10.68,10.629,0.954,0.776,143.593,7.794,11.983,11.96,0.939
model720,100,75,3,relu,0.01,0.836,109.056,6.972,10.443,10.421,0.953,0.783,138.916,7.595,11.786,11.754,0.937
model721,100,75,3,relu,0.005,0.836,109.356,7.142,10.457,10.401,0.956,0.779,141.205,7.782,11.883,11.849,0.94
model722,100,75,4,relu,1,0.845,103.288,6.791,10.163,10.03,0.954,0.781,140.425,7.56,11.85,11.688,0.934
model723,100,75,4,relu,0.75,0.838,107.98,6.934,10.391,10.382,0.954,0.78,141.126,7.607,11.88,11.867,0.937
model724,100,75,4,relu,0.5,0.827,114.978,7.197,10.723,10.722,0.952,0.781,140.493,7.719,11.853,11.852,0.938
model725,100,75,4,relu,0.1,0.839,107.225,7.078,10.355,10.322,0.956,0.776,143.659,7.816,11.986,11.975,0.938
model726,100,75,4,relu,0.05,0.835,109.999,7.01,10.488,10.479,0.953,0.775,144.276,7.771,12.011,11.994,0.935
model727,100,75,4,relu,0.01,0.852,98.673,6.882,9.933,9.889,0.959,0.788,135.668,7.682,11.648,11.631,0.939
model728,100,75,4,relu,0.005,0.837,108.46,6.941,10.414,10.286,0.951,0.777,142.833,7.714,11.951,11.819,0.933
model729,100,75,5,relu,1,0.84,106.364,6.912,10.313,10.303,0.954,0.778,142.108,7.636,11.921,11.905,0.936
model730,100,75,5,relu,0.75,0.836,109.21,7.032,10.45,10.445,0.956,0.773,145.345,7.873,12.056,12.054,0.938
model731,100,75,5,relu,0.5,0.829,113.824,7.321,10.669,10.534,0.954,0.773,145.287,7.924,12.054,11.971,0.939
model732,100,75,5,relu,0.1,0.843,104.738,6.912,10.234,10.234,0.956,0.796,130.45,7.507,11.421,11.42,0.942
model733,100,75,5,relu,0.05,0.835,109.984,6.945,10.487,10.369,0.951,0.768,148.743,7.685,12.196,12.059,0.93
model734,100,75,5,relu,0.01,0.812,125.032,7.297,11.182,10.855,0.944,0.763,151.617,7.866,12.313,11.963,0.928
model735,100,75,5,relu,0.005,0.838,107.543,6.935,10.37,10.317,0.955,0.768,148.254,7.778,12.176,12.115,0.934
model736,100,75,6,relu,1,0.835,110.055,6.953,10.491,10.262,0.951,0.759,154.103,7.855,12.414,12.182,0.928
model737,100,75,6,relu,0.75,0.831,112.33,6.979,10.599,10.57,0.951,0.793,132.623,7.472,11.516,11.47,0.94
model738,100,75,6,relu,0.5,0.829,113.613,7.384,10.659,10.512,0.954,0.781,140.269,7.83,11.844,11.762,0.939
model739,100,75,6,relu,0.1,0.821,118.82,7.577,10.9,10.509,0.955,0.764,151.039,8.257,12.29,11.988,0.939
model740,100,75,6,relu,0.05,0.809,126.884,7.708,11.264,10.918,0.952,0.737,168.409,8.346,12.977,12.755,0.933
model741,100,75,6,relu,0.01,0.845,102.917,6.742,10.145,10.056,0.955,0.782,139.767,7.553,11.822,11.708,0.935
model742,100,75,6,relu,0.005,0.826,115.44,7.142,10.744,10.718,0.948,0.778,142.195,7.701,11.925,11.881,0.932
model743,100,75,7,relu,1,0.849,100.314,6.792,10.016,10.013,0.958,0.788,135.616,7.61,11.645,11.645,0.939
model744,100,75,7,relu,0.75,0.832,111.472,6.973,10.558,10.541,0.951,0.791,133.639,7.48,11.56,11.533,0.938
model745,100,75,7,relu,0.5,0.842,105.027,6.904,10.248,10.247,0.956,0.784,138.061,7.673,11.75,11.749,0.938
model746,100,75,7,relu,0.1,0.844,103.485,6.828,10.173,10.13,0.954,0.791,133.866,7.501,11.57,11.503,0.937
model747,100,75,7,relu,0.05,0.838,107.498,6.989,10.368,10.365,0.954,0.79,134.379,7.531,11.592,11.592,0.939
model748,100,75,7,relu,0.01,0.828,114.644,7.162,10.707,10.705,0.953,0.764,150.834,7.958,12.281,12.281,0.935
model749,100,75,7,relu,0.005,0.814,123.546,7.646,11.115,10.973,0.948,0.77,147.25,8.097,12.135,12.036,0.934
model750,100,75,8,relu,1,0.837,108.419,6.941,10.412,10.344,0.952,0.781,140.401,7.592,11.849,11.761,0.935
model751,100,75,8,relu,0.75,0.832,111.772,7.072,10.572,10.559,0.951,0.785,137.783,7.607,11.738,11.713,0.935
model752,100,75,8,relu,0.5,0.84,106.169,6.987,10.304,10.303,0.956,0.778,141.831,7.793,11.909,11.898,0.937
model753,100,75,8,relu,0.1,0.838,108.102,7.034,10.397,10.367,0.955,0.785,137.75,7.732,11.737,11.727,0.938
model754,100,75,8,relu,0.05,0.833,111.359,6.959,10.553,10.462,0.951,0.787,136.611,7.581,11.688,11.574,0.937
model755,100,75,8,relu,0.01,0.833,111.4,7.03,10.555,10.335,0.951,0.768,148.617,7.798,12.191,11.956,0.93
model756,100,75,8,relu,0.005,0.845,103.032,6.939,10.15,10.102,0.959,0.77,147.321,7.817,12.138,12.112,0.937
model757,100,75,9,relu,1,0.817,121.607,7.264,11.028,11.026,0.949,0.773,145.063,7.715,12.044,12.036,0.937
model758,100,75,9,relu,0.75,0.81,126.719,7.262,11.257,10.772,0.94,0.748,161.528,7.918,12.709,12.229,0.918
model759,100,75,9,relu,0.5,0.821,118.944,7.134,10.906,10.803,0.945,0.779,141.596,7.62,11.899,11.774,0.931
model760,100,75,9,relu,0.1,0.827,114.897,7.278,10.719,10.652,0.952,0.788,135.574,7.822,11.644,11.604,0.94
model761,100,75,9,relu,0.05,0.832,111.726,7.243,10.57,10.48,0.954,0.784,138.477,7.816,11.768,11.716,0.94
model762,100,75,9,relu,0.01,0.799,133.416,7.712,11.551,11.203,0.951,0.734,170.457,8.371,13.056,12.808,0.935
model763,100,75,9,relu,0.005,0.824,117.119,7.39,10.822,10.742,0.952,0.782,139.62,7.867,11.816,11.772,0.939
model764,100,75,10,relu,1,0.853,97.874,6.688,9.893,9.863,0.958,0.789,134.938,7.534,11.616,11.568,0.938
model765,100,75,10,relu,0.75,0.827,114.961,6.99,10.722,10.597,0.949,0.778,142.1,7.648,11.921,11.778,0.934
model766,100,75,10,relu,0.5,0.825,116.733,7.269,10.804,10.758,0.953,0.774,144.963,7.882,12.04,12.016,0.938
model767,100,75,10,relu,0.1,0.839,107.308,6.882,10.359,10.337,0.954,0.779,141.585,7.673,11.899,11.86,0.935
model768,100,75,10,relu,0.05,0.831,112.284,6.976,10.596,10.554,0.951,0.786,137.062,7.592,11.707,11.645,0.938
model769,100,75,10,relu,0.01,0.844,104.094,6.799,10.203,10.079,0.954,0.78,140.978,7.574,11.873,11.753,0.934
model770,100,75,10,relu,0.005,0.65,232.757,10.478,15.256,13.116,0.927,0.595,259.218,10.939,16.1,14.33,0.914
model771,100,100,1,relu,1,0.814,123.742,7.472,11.124,11.111,0.948,0.786,136.945,7.733,11.702,11.698,0.94
model772,100,100,1,relu,0.75,0.814,123.845,7.465,11.129,11.115,0.947,0.789,134.833,7.672,11.612,11.609,0.941
model773,100,100,1,relu,0.5,0.815,123.38,7.438,11.108,11.103,0.947,0.781,140.255,7.796,11.843,11.842,0.938
model774,100,100,1,relu,0.1,0.805,130.005,7.768,11.402,11.294,0.945,0.779,141.652,7.97,11.902,11.833,0.939
model775,100,100,1,relu,0.05,0.811,125.549,7.457,11.205,11.195,0.944,0.781,140.309,7.772,11.845,11.826,0.936
model776,100,100,1,relu,0.01,0.818,120.986,7.45,10.999,10.972,0.949,0.788,135.452,7.747,11.638,11.625,0.941
model777,100,100,1,relu,0.005,0.81,126.619,7.471,11.253,11.233,0.946,0.778,142.221,7.841,11.926,11.886,0.937
model778,100,100,2,relu,1,0.805,129.619,7.395,11.385,11.062,0.939,0.76,153.717,7.954,12.398,12.057,0.925
model779,100,100,2,relu,0.75,0.837,108.145,7.069,10.399,10.385,0.955,0.765,150.147,7.787,12.253,12.247,0.935
model780,100,100,2,relu,0.5,0.837,108.337,7.079,10.409,10.393,0.955,0.781,139.963,7.688,11.831,11.824,0.939
model781,100,100,2,relu,0.1,0.833,111.31,7.239,10.55,10.472,0.955,0.779,141.189,7.839,11.882,11.835,0.94
model782,100,100,2,relu,0.05,0.84,106.72,6.961,10.331,10.329,0.955,0.794,131.608,7.547,11.472,11.461,0.941
model783,100,100,2,relu,0.01,0.839,107.27,7.008,10.357,10.357,0.955,0.771,146.412,7.757,12.1,12.097,0.935
model784,100,100,2,relu,0.005,0.808,127.794,7.521,11.305,11.254,0.949,0.762,152.264,8.031,12.34,12.305,0.936
model785,100,100,3,relu,1,0.853,98.073,6.726,9.903,9.901,0.958,0.784,138.511,7.561,11.769,11.763,0.938
model786,100,100,3,relu,0.75,0.831,112.498,7.111,10.607,10.599,0.951,0.777,142.704,7.748,11.946,11.925,0.934
model787,100,100,3,relu,0.5,0.821,119.354,7.466,10.925,10.674,0.953,0.77,147.375,8.13,12.14,11.963,0.939
model788,100,100,3,relu,0.1,0.849,100.178,6.789,10.009,10.009,0.96,0.791,133.716,7.606,11.564,11.562,0.944
model789,100,100,3,relu,0.05,0.838,107.889,7.01,10.387,10.387,0.955,0.776,143.657,7.739,11.986,11.985,0.938
model790,100,100,3,relu,0.01,0.8,132.926,7.844,11.529,11.2,0.949,0.754,157.606,8.295,12.554,12.316,0.936
model791,100,100,3,relu,0.005,0.833,110.999,7.012,10.536,10.448,0.953,0.776,143.469,7.716,11.978,11.881,0.937
model792,100,100,4,relu,1,0.843,104.569,6.794,10.226,10.1,0.955,0.785,137.688,7.518,11.734,11.57,0.937
model793,100,100,4,relu,0.75,0.849,100.75,6.766,10.037,9.99,0.957,0.782,139.72,7.665,11.82,11.756,0.937
model794,100,100,4,relu,0.5,0.841,105.607,6.938,10.277,10.245,0.955,0.774,144.565,7.686,12.024,11.967,0.933
model795,100,100,4,relu,0.1,0.834,110.181,7.351,10.497,10.153,0.957,0.763,151.68,8.251,12.316,12.069,0.938
model796,100,100,4,relu,0.05,0.831,112.613,7.029,10.612,10.611,0.953,0.788,135.559,7.604,11.643,11.643,0.941
model797,100,100,4,relu,0.01,0.842,105.091,6.999,10.251,10.175,0.958,0.787,136.248,7.771,11.673,11.638,0.941
model798,100,100,4,relu,0.005,0.814,123.861,7.232,11.129,11.106,0.948,0.719,179.713,8.146,13.406,13.383,0.922
model799,100,100,5,relu,1,0.829,113.704,7.137,10.663,10.659,0.952,0.777,142.594,7.718,11.941,11.94,0.937
model800,100,100,5,relu,0.75,0.852,98.588,6.768,9.929,9.929,0.959,0.776,143.666,7.676,11.986,11.984,0.936
model801,100,100,5,relu,0.5,0.838,107.98,7.029,10.391,10.37,0.955,0.784,138.354,7.728,11.762,11.758,0.939
model802,100,100,5,relu,0.1,0.828,114.272,7.003,10.69,10.685,0.949,0.791,133.7,7.574,11.563,11.552,0.938
model803,100,100,5,relu,0.05,0.837,108.377,6.927,10.41,10.319,0.953,0.785,137.347,7.656,11.719,11.602,0.937
model804,100,100,5,relu,0.01,0.848,101.131,6.772,10.056,9.995,0.957,0.781,140.143,7.641,11.838,11.754,0.936
model805,100,100,5,relu,0.005,0.834,110.151,6.942,10.495,10.467,0.951,0.781,140.281,7.618,11.844,11.79,0.934
model806,100,100,6,relu,1,0.839,106.898,6.874,10.339,10.208,0.953,0.78,141.096,7.641,11.878,11.724,0.935
model807,100,100,6,relu,0.75,0.793,137.758,8.235,11.737,11.07,0.948,0.741,165.917,8.823,12.881,12.332,0.934
model808,100,100,6,relu,0.5,0.841,105.721,6.97,10.282,10.188,0.958,0.775,143.746,7.914,11.989,11.939,0.939
model809,100,100,6,relu,0.1,0.846,102.727,6.788,10.135,10.082,0.955,0.782,139.749,7.534,11.822,11.758,0.935
model810,100,100,6,relu,0.05,0.85,99.492,6.737,9.975,9.975,0.958,0.775,144.104,7.725,12.004,12.003,0.935
model811,100,100,6,relu,0.01,0.842,105.182,6.797,10.256,10.203,0.954,0.763,152.038,7.714,12.33,12.262,0.929
model812,100,100,6,relu,0.005,0.824,117.333,7.05,10.832,10.629,0.947,0.772,145.761,7.68,12.073,11.829,0.93
model813,100,100,7,relu,1,0.851,98.855,6.782,9.943,9.938,0.959,0.773,145.65,7.834,12.069,12.069,0.935
model814,100,100,7,relu,0.75,0.828,114.269,7.406,10.69,10.448,0.954,0.775,143.905,8.007,11.996,11.824,0.939
model815,100,100,7,relu,0.5,0.834,110.239,7.067,10.499,10.489,0.956,0.778,141.861,7.691,11.911,11.91,0.939
model816,100,100,7,relu,0.1,0.849,100.333,6.716,10.017,9.898,0.957,0.763,151.711,7.807,12.317,12.19,0.931
model817,100,100,7,relu,0.05,0.835,109.703,6.878,10.474,10.417,0.954,0.778,142.297,7.584,11.929,11.841,0.935
model818,100,100,7,relu,0.01,0.817,121.651,7.548,11.03,10.846,0.95,0.771,146.797,8.119,12.116,11.982,0.936
model819,100,100,7,relu,0.005,0.838,107.904,6.877,10.388,10.218,0.952,0.78,141.099,7.607,11.878,11.698,0.934
model820,100,100,8,relu,1,0.827,115.158,7.091,10.731,10.342,0.948,0.75,160.017,8.106,12.65,12.265,0.922
model821,100,100,8,relu,0.75,0.843,104.653,6.838,10.23,10.21,0.956,0.77,147.081,7.784,12.128,12.094,0.934
model822,100,100,8,relu,0.5,0.84,106.358,6.962,10.313,10.208,0.958,0.781,140.526,7.813,11.854,11.799,0.941
model823,100,100,8,relu,0.1,0.852,98.346,6.732,9.917,9.904,0.96,0.792,133.096,7.553,11.537,11.534,0.943
model824,100,100,8,relu,0.05,0.829,113.832,7.066,10.669,10.653,0.95,0.784,138.525,7.576,11.77,11.743,0.936
model825,100,100,8,relu,0.01,0.839,107.019,6.885,10.345,10.148,0.952,0.777,142.707,7.642,11.946,11.762,0.933
model826,100,100,8,relu,0.005,0.851,99.162,6.733,9.958,9.958,0.958,0.771,146.922,7.764,12.121,12.119,0.933
model827,100,100,9,relu,1,0.836,109.318,6.893,10.456,10.423,0.951,0.762,152.414,7.8,12.346,12.295,0.927
model828,100,100,9,relu,0.75,0.835,109.802,6.968,10.479,10.466,0.954,0.776,143.446,7.71,11.977,11.953,0.936
model829,100,100,9,relu,0.5,0.835,110.075,7.02,10.492,10.491,0.953,0.782,139.368,7.688,11.805,11.805,0.937
model830,100,100,9,relu,0.1,0.837,108.566,7.118,10.419,10.312,0.955,0.767,149.306,7.978,12.219,12.145,0.935
model831,100,100,9,relu,0.05,0.851,99.157,6.739,9.958,9.951,0.959,0.78,140.869,7.696,11.869,11.867,0.939
model832,100,100,9,relu,0.01,0.832,111.484,6.989,10.559,10.46,0.951,0.78,140.926,7.629,11.871,11.749,0.935
model833,100,100,9,relu,0.005,0.836,108.92,7.216,10.436,10.242,0.956,0.77,146.979,8.026,12.124,11.989,0.938
model834,100,100,10,relu,1,0.853,97.521,6.641,9.875,9.767,0.958,0.769,147.698,7.792,12.153,12.051,0.933
model835,100,100,10,relu,0.75,0.856,95.963,6.8,9.796,9.655,0.962,0.772,145.777,7.952,12.074,11.999,0.938
model836,100,100,10,relu,0.5,0.852,98.325,6.814,9.916,9.864,0.961,0.779,141.759,7.775,11.906,11.882,0.941
model837,100,100,10,relu,0.1,0.83,112.788,7.039,10.62,10.598,0.953,0.77,147.399,7.808,12.141,12.11,0.936
model838,100,100,10,relu,0.05,0.849,100.757,6.828,10.038,10.012,0.959,0.781,140.241,7.766,11.842,11.832,0.939
model839,100,100,10,relu,0.01,0.854,97.254,6.647,9.862,9.851,0.959,0.786,137.169,7.556,11.712,11.688,0.939
model840,100,100,10,relu,0.005,0.839,106.796,7.027,10.334,10.131,0.959,0.762,152.475,8.056,12.348,12.22,0.938
model841,200,5,1,relu,1,0.788,140.957,7.785,11.873,11.865,0.937,0.776,143.737,7.824,11.989,11.97,0.933
model842,200,5,1,relu,0.75,0.785,142.809,7.919,11.95,11.93,0.939,0.767,149.105,8.017,12.211,12.203,0.935
model843,200,5,1,relu,0.5,0.777,148.385,8.197,12.181,12.165,0.935,0.758,155.204,8.286,12.458,12.453,0.93
model844,200,5,1,relu,0.1,0.782,144.817,7.899,12.034,12.022,0.935,0.768,148.771,7.994,12.197,12.175,0.931
model845,200,5,1,relu,0.05,0.79,140.049,7.798,11.834,11.821,0.937,0.775,144.267,7.87,12.011,11.986,0.933
model846,200,5,1,relu,0.01,0.792,138.405,7.89,11.765,11.764,0.939,0.768,148.656,8.011,12.192,12.192,0.933
model847,200,5,1,relu,0.005,0.783,144.658,7.871,12.027,12.018,0.936,0.774,144.958,7.856,12.04,12.02,0.934
model848,200,5,2,relu,1,0.788,141.15,7.82,11.881,11.855,0.937,0.768,148.848,7.96,12.2,12.155,0.931
model849,200,5,2,relu,0.75,0.791,139.146,7.741,11.796,11.734,0.938,0.771,146.436,7.867,12.101,12.016,0.933
model850,200,5,2,relu,0.5,0.792,138.171,7.764,11.755,11.744,0.939,0.777,142.472,7.892,11.936,11.915,0.936
model851,200,5,2,relu,0.1,0.772,151.598,8.345,12.313,12.189,0.937,0.753,158.014,8.355,12.57,12.494,0.932
model852,200,5,2,relu,0.05,0.788,140.863,7.856,11.869,11.868,0.938,0.771,146.434,7.899,12.101,12.101,0.934
model853,200,5,2,relu,0.01,0.786,142.399,7.82,11.933,11.886,0.936,0.769,147.624,7.935,12.15,12.086,0.932
model854,200,5,2,relu,0.005,0.778,147.791,8.148,12.157,12.134,0.936,0.762,152.321,8.197,12.342,12.333,0.932
model855,200,5,3,relu,1,-0.0,665.326,18.055,25.794,25.794,0.002,-0.0,640.277,17.773,25.304,25.304,0.004
model856,200,5,3,relu,0.75,0.781,145.993,7.886,12.083,12.066,0.935,0.761,152.948,8.011,12.367,12.341,0.93
model857,200,5,3,relu,0.5,0.78,146.097,7.851,12.087,11.955,0.932,0.76,153.444,7.909,12.387,12.23,0.926
model858,200,5,3,relu,0.1,0.781,145.619,8.082,12.067,12.067,0.935,0.755,157.161,8.27,12.536,12.536,0.928
model859,200,5,3,relu,0.05,0.79,139.996,7.813,11.832,11.826,0.938,0.767,149.466,7.913,12.226,12.212,0.931
model860,200,5,3,relu,0.01,0.779,146.947,7.984,12.122,12.1,0.934,0.766,150.137,8.07,12.253,12.211,0.93
model861,200,5,3,relu,0.005,0.789,140.657,7.921,11.86,11.839,0.939,0.766,149.649,8.071,12.233,12.221,0.933
model862,200,5,4,relu,1,0.789,140.135,7.833,11.838,11.832,0.938,0.769,147.668,7.994,12.152,12.141,0.933
model863,200,5,4,relu,0.75,0.793,137.483,7.716,11.725,11.717,0.939,0.775,144.127,7.82,12.005,11.99,0.935
model864,200,5,4,relu,0.5,0.794,137.367,7.843,11.72,11.695,0.941,0.774,144.673,7.974,12.028,12.016,0.936
model865,200,5,4,relu,0.1,-0.0,665.326,18.055,25.794,25.794,0.002,-0.0,640.277,17.774,25.304,25.304,0.004
model866,200,5,4,relu,0.05,0.797,134.748,7.713,11.608,11.608,0.941,0.778,142.179,7.821,11.924,11.923,0.936
model867,200,5,4,relu,0.01,0.78,146.154,7.983,12.089,12.084,0.934,0.768,148.664,7.984,12.193,12.178,0.931
