,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,VAL,CEN,TLA_med,TLA_pred
263,-1.0,-1.0,-1.0,24.7,33.14,15.5,49.202,35.8,18.2,29.8,24.11872
264,26.6,-1.0,-1.0,34.4,63.11,20.4,34.931,23.5,25.37,43.8,31.756315
265,-1.0,16.4,-1.0,-1.0,2.1,-1.0,-1.0,-1.0,14.47,24.36,20.838879
266,-1.0,8.8,-1.0,-1.0,15.3,-1.0,15.777,-1.0,13.5,13.57,21.56736
267,-1.0,39.4,54.7,71.3,-1.0,44.1,-1.0,43.7,47.78,58.9,53.01444
268,13.94,33.91,32.8,-1.0,-1.0,25.64,68.42,31.82,33.39,18.4,28.8824
269,-1.0,24.0,21.0,14.2,-1.0,-1.0,-1.0,-1.0,23.02,17.12,30.698582
270,19.6,29.6,-1.0,47.6,27.3,14.8,36.981,-1.0,24.03,44.35,38.755054
271,-1.0,-1.0,-1.0,24.1,45.86,27.0,51.832,10.1,34.6,8.6,32.00727
272,-1.0,-1.0,56.6,55.7,72.26,16.5,60.258,51.8,15.4,34.7,26.445868
273,17.71,25.08,36.13,-1.0,-1.0,23.79,37.75,19.33,23.97,27.31,26.181232
274,36.4,-1.0,-1.0,31.7,26.61,15.0,46.05,30.0,18.33,27.1,25.920118
