,AGU,ATM,LDO,LPIN,OBL,SFE,TLA,VAL,CEN,MIR_med,MIR_pred
233,2.97,11.68,34.71,-1.0,19.81,46.41,16.99,12.94,19.5,54.21,165.28104
234,-1.0,35.3,42.4,48.2,38.6,80.999,46.3,-1.0,44.2,85.26,53.069904
235,-1.0,19.4,34.3,52.5,19.4,64.315,27.7,-1.0,37.3,34.5,42.462643
236,81.0,76.4,-1.0,206.4,69.9,152.97,79.1,41.2,85.88,198.55,196.2548
237,16.2,-1.0,-1.0,18.4,10.1,30.566,21.8,9.9,10.98,21.37,18.633045
238,-1.0,49.4,103.8,115.8,34.0,105.88,-1.0,-1.0,36.9,89.41,100.17794
239,-1.0,38.8,-1.0,-1.0,-1.0,16.109,31.17,-1.0,23.24,36.2,19.975407
240,-1.0,68.9,65.6,104.9,51.9,152.95,64.8,-1.0,42.6,161.72,102.852684
241,-1.0,31.6,47.6,49.6,44.4,59.377,61.1,-1.0,45.3,63.97,62.24336
242,22.2,59.2,-1.0,-1.0,25.3,43.982,62.36,-1.0,39.94,39.0,43.03654
243,48.29,47.73,38.58,-1.0,42.63,61.27,35.17,41.46,39.02,48.64,48.474182
244,47.9,49.5,-1.0,84.9,54.2,72.649,-1.0,45.4,39.21,44.08,55.464542
245,19.22,16.69,29.31,-1.0,36.06,372.84,57.01,23.81,44.17,252.0,202.89745
246,-1.0,-1.0,-1.0,15.7,14.4,51.883,50.7,25.4,60.6,51.22,45.870113
247,-1.0,-1.0,-1.0,57.3,22.7,43.086,36.3,19.8,22.5,57.03,42.142536
248,11.8,-1.0,-1.0,54.5,15.6,50.772,39.4,23.5,38.38,65.57,46.30923
249,-1.0,22.7,-1.0,-1.0,-1.0,46.033,28.14,-1.0,23.09,46.0,37.724125
250,-1.0,-1.0,-1.0,-1.0,-1.0,55.935,57.08,-1.0,21.69,48.0,41.386826
251,-1.0,-1.0,-1.0,28.2,23.2,73.081,22.4,41.7,25.6,45.15,40.460247
252,32.7,-1.0,-1.0,56.5,10.5,70.215,29.7,10.5,24.6,39.53,46.44695
253,-1.0,-1.0,-1.0,15.8,16.5,29.578,24.5,37.4,21.9,19.39,31.293518
254,-1.0,70.7,20.5,99.4,30.0,148.63,32.6,46.9,35.56,42.36,60.261517
255,-1.0,-1.0,-1.0,37.1,22.5,50.442,29.2,26.9,20.4,45.65,36.025356
256,-1.0,40.96,36.03,106.29,31.41,179.26,39.35,31.8,20.74,49.07,62.494877
257,26.2,37.5,-1.0,86.1,23.2,92.62,-1.0,22.8,30.17,41.58,53.96131
258,-1.0,41.5,47.1,-1.0,-1.0,74.66,44.1,-1.0,-1.0,100.0,73.27713
259,23.2,42.7,-1.0,-1.0,30.6,74.893,77.92,-1.0,34.6,47.8,37.144398
260,52.2,65.9,-1.0,136.0,55.0,152.32,63.3,62.1,55.09,78.14,95.421
261,-1.0,-1.0,-1.0,46.5,40.2,72.227,38.1,25.4,32.1,36.47,57.782738
262,27.0,47.3,-1.0,72.4,14.6,33.809,32.97,-1.0,32.13,42.3,42.246178
263,26.3,12.6,-1.0,54.3,-1.0,24.719,13.64,-1.0,36.39,58.9,15.55926
264,-1.0,12.3,-1.0,-1.0,-1.0,17.967,40.74,-1.0,6.52,25.1,41.98028
265,32.57,33.95,35.45,-1.0,30.77,32.18,37.74,41.48,40.69,102.5,81.41044
266,-1.0,-1.0,26.4,35.1,28.7,88.896,44.6,59.3,44.5,45.95,40.118885
267,-1.0,-1.0,20.68,24.75,-1.0,106.61,-1.0,-1.0,-1.0,13.09,26.063543
268,-1.0,10.0,38.6,-1.0,-1.0,56.867,-1.0,-1.0,-1.0,64.3,49.884537
269,-1.0,40.5,49.3,62.5,41.9,59.692,52.1,-1.0,37.5,72.47,54.34251
270,-1.0,22.5,17.9,35.4,15.2,59.058,32.4,35.0,15.1,31.78,34.569763
271,70.8,64.7,-1.0,257.3,41.1,53.544,54.0,57.4,43.46,82.05,110.203636
272,69.7,45.6,44.2,63.8,47.8,130.67,37.2,47.9,46.05,91.09,78.40316
273,102.4,88.3,93.2,277.9,62.4,101.94,75.8,68.2,81.87,146.65,110.591064
274,25.5,2.3,-1.0,17.0,17.2,46.517,6.06,-1.0,21.31,46.5,26.743336
275,14.56,14.33,27.72,-1.0,13.19,32.82,18.39,16.77,17.13,24.73,202.20735
276,9.72,20.74,18.78,-1.0,15.79,20.7,15.55,18.25,17.69,52.7,27.458408
