,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN_med,CEN_pred
205,-1.0,62.1,70.3,67.0,-1.0,62.5,114.14,98.2,95.4,84.6,75.53137
206,19.7,-1.0,-1.0,19.8,22.43,15.2,32.348,23.8,19.3,19.31,18.081764
207,-1.0,-1.0,20.1,-1.0,-1.0,9.6,-1.0,-1.0,-1.0,15.28,21.502184
208,112.69,-1.0,59.01,-1.0,65.93,92.06,75.93,77.08,-1.0,101.62,72.002594
209,-1.0,-1.0,36.52,36.99,-1.0,41.41,165.35,46.35,40.55,31.31,35.18317
210,38.3,-1.0,-1.0,103.5,77.13,23.5,83.402,74.1,26.8,45.72,45.854763
211,-1.0,45.0,60.9,47.1,63.4,60.1,82.223,54.1,-1.0,49.8,56.34518
212,-1.0,5.2,-1.0,-1.0,46.1,-1.0,99.573,45.12,-1.0,20.85,29.997784
213,-1.0,28.7,55.3,42.5,-1.0,49.9,-1.0,-1.0,35.1,43.32,33.301952
214,18.4,-1.0,-1.0,28.8,32.7,17.7,41.125,110.25,-1.0,20.93,35.64138
215,-1.0,18.7,16.6,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.84,16.414526
216,-1.0,6.4,30.1,33.2,-1.0,-1.0,-1.0,48.76,-1.0,29.52,17.12968
217,-1.0,15.0,28.9,24.9,-1.0,-1.0,-1.0,16.72,-1.0,16.28,14.182457
218,-1.0,28.1,50.2,230.8,-1.0,-1.0,-1.0,-1.0,40.2,81.94,64.18515
219,29.2,-1.0,-1.0,32.1,64.6,-1.0,44.356,-1.0,-1.0,16.14,25.28713
220,-1.0,16.3,31.6,23.6,-1.0,-1.0,-1.0,30.65,-1.0,11.23,18.165117
221,-1.0,26.4,-1.0,61.9,-1.0,36.6,-1.0,-1.0,46.6,36.96,37.7313
222,-1.0,26.2,-1.0,-1.0,20.6,-1.0,21.656,27.08,-1.0,13.03,14.367953
223,-1.0,36.6,62.9,70.5,45.08,24.0,93.599,41.8,60.5,28.1,36.480694
224,-1.0,-1.0,4.4,14.2,21.0,5.4,46.992,7.8,8.6,0.1,16.563015
225,-1.0,24.9,21.2,50.9,31.68,19.7,115.09,32.9,32.8,21.2,23.994007
226,36.44,55.34,-1.0,-1.0,-1.0,42.41,136.18,47.85,23.06,61.29,53.265736
227,-1.0,28.5,28.9,38.4,-1.0,-1.0,-1.0,-1.0,-1.0,21.21,23.642664
228,26.91,48.12,64.44,-1.0,-1.0,40.3,112.88,42.19,34.69,34.38,45.398964
229,-1.0,110.2,78.4,-1.0,206.14,94.6,220.37,139.1,-1.0,124.4,111.979774
230,-1.0,43.5,57.5,140.4,142.0,76.6,238.95,48.5,70.3,51.03,70.977516
231,-1.0,30.1,49.8,37.7,-1.0,36.1,41.161,46.1,29.1,37.8,38.601112
232,24.5,-1.0,-1.0,-1.0,21.2,-1.0,29.374,46.99,-1.0,27.79,21.408636
233,102.57,-1.0,39.75,-1.0,33.18,104.64,104.05,74.74,153.5,84.13,88.54555
234,41.7,67.6,-1.0,110.0,95.42,85.2,195.6,-1.0,25.0,54.83,83.64537
235,-1.0,-1.0,-1.0,37.7,56.64,23.4,55.133,32.1,47.7,20.8,33.046078
236,8.7,2.3,-1.0,-1.0,23.5,-1.0,29.175,28.78,-1.0,6.55,12.984937
237,-1.0,-1.0,-1.0,-1.0,38.6,-1.0,30.429,-1.0,-1.0,24.26,22.211597
238,-1.0,25.8,-1.0,118.8,-1.0,40.9,-1.0,-1.0,18.3,51.95,29.93057
239,75.5,91.3,57.9,145.5,180.86,75.9,-1.0,72.6,77.4,119.4,77.02075
240,-1.0,35.2,19.0,18.2,34.01,24.1,65.215,27.5,21.7,26.93,23.31264
241,-1.0,17.3,36.9,28.7,-1.0,-1.0,-1.0,-1.0,-1.0,13.93,20.182156
242,-1.0,35.6,44.7,33.0,50.73,41.0,53.42,32.9,-1.0,18.5,37.41793
243,-1.0,56.1,51.7,56.8,-1.0,39.4,-1.0,98.2,82.3,60.61,54.1687
244,-1.0,63.6,72.1,131.0,203.66,54.9,174.15,45.5,-1.0,20.7,52.18645
245,67.9,19.5,37.0,59.7,55.6,29.9,80.366,40.6,48.1,42.88,40.251087
246,49.8,-1.0,-1.0,-1.0,109.31,28.8,30.098,77.6,47.9,34.5,53.48744
247,-1.0,-1.0,-1.0,-1.0,23.3,-1.0,-1.0,5.95,-1.0,19.25,15.816651
248,-1.0,20.4,43.3,124.2,-1.0,-1.0,-1.0,-1.0,9.6,47.03,31.145933
249,-1.0,-1.0,-1.0,8.3,13.55,7.1,31.402,13.0,14.9,8.3,11.446475
250,-1.0,23.4,-1.0,-1.0,60.3,-1.0,47.768,56.78,-1.0,18.99,28.80904
251,-1.0,-1.0,18.6,19.3,-1.0,-1.0,-1.0,19.61,-1.0,6.17,13.072533
252,-1.0,-1.0,17.1,22.4,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,10.803563
253,-1.0,30.0,66.1,90.7,-1.0,52.8,-1.0,88.98,17.8,49.11,60.520943
254,36.0,-1.0,-1.0,39.4,39.0,10.1,27.94,36.26,-1.0,28.03,21.382957
255,-1.0,3.7,75.5,189.9,-1.0,-1.0,-1.0,-1.0,21.0,45.96,78.047104
256,-1.0,25.5,54.3,63.8,-1.0,26.5,-1.0,-1.0,-1.0,35.83,34.05545
257,-1.0,-1.0,-1.0,-1.0,-1.0,16.8,-1.0,-1.0,17.2,15.66,22.625877
258,-1.0,29.3,32.3,131.5,64.14,32.9,129.26,52.6,17.3,30.52,42.89992
259,-1.0,-1.0,16.7,27.4,25.1,18.9,35.364,22.8,54.1,21.8,21.513994
260,6.5,15.6,-1.0,13.2,14.2,4.9,19.13,14.41,-1.0,6.31,10.75696
261,-1.0,22.7,12.0,20.1,-1.0,-1.0,-1.0,13.77,-1.0,11.33,13.418378
262,10.49,24.82,34.85,-1.0,127.13,30.28,86.33,16.36,15.64,25.07,20.779552
263,-1.0,35.5,20.4,43.8,43.31,61.6,52.202,29.8,-1.0,20.6,25.78693
