,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,AGU_med,AGU_pred
870,66.9,68.8,107.8,48.63,32.7,87.917,45.7,37.0,35.48,63.0,44.990692
871,14.8,-1.0,-1.0,43.5,16.7,55.789,25.43,-1.0,18.58,25.0,25.485285
872,27.9,-1.0,21.9,30.9,-1.0,33.595,38.5,-1.0,20.46,8.2,8.593134
873,19.2,-1.0,-1.0,10.9,-1.0,22.148,18.17,-1.0,8.55,9.3,6.315695
874,-1.0,-1.0,22.3,44.23,23.5,76.925,-1.0,68.4,30.23,59.1,46.262157
875,16.1,-1.0,47.6,51.0,26.2,50.817,34.92,-1.0,27.84,40.0,28.024729
876,17.42,6.4,13.78,-1.0,12.86,-1.0,14.53,18.19,17.81,19.41,15.005831
877,93.62,94.22,-1.0,-1.0,39.73,314.08,91.61,88.96,110.25,69.84,64.29966
878,16.3,-1.0,42.7,36.7,19.5,59.406,41.16,-1.0,24.93,37.2,21.401663
879,33.7,-1.0,60.7,100.91,22.2,-1.0,-1.0,32.6,25.5,28.5,32.417866
880,-1.0,-1.0,110.6,58.62,48.1,120.19,39.2,21.6,41.62,62.3,45.784306
881,50.51,22.87,151.0,-1.0,-1.0,-1.0,72.19,28.18,46.35,16.13,26.115631
882,89.2,163.3,238.2,103.55,88.5,80.844,104.3,35.3,85.03,42.6,82.87725
883,23.9,29.7,67.3,85.94,30.3,49.105,39.8,37.7,67.82,24.5,26.264439
884,39.26,33.63,-1.0,38.35,44.23,107.61,34.69,34.67,43.2,22.8,25.480776
885,27.92,14.55,23.19,-1.0,20.7,50.11,-1.0,31.04,-1.0,27.05,9.131121
886,31.9,-1.0,-1.0,51.9,35.5,89.383,32.28,-1.0,49.77,32.0,26.156738
887,-1.0,-1.0,75.6,48.33,17.6,45.585,37.4,22.9,40.02,74.2,22.925127
888,73.8,64.3,171.6,56.68,45.3,91.944,53.3,56.9,57.47,80.4,71.782715
889,-1.0,31.12,-1.0,64.85,34.13,69.44,29.17,21.8,23.83,24.4,18.564781
890,10.1,-1.0,19.6,38.7,19.6,29.91,32.05,-1.0,27.03,42.9,19.27355
891,65.2,-1.0,167.4,-1.0,23.2,160.32,107.2,54.9,108.55,85.1,52.492805
