,AGU,ATM,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,LDO_med,LDO_pred
154,-1.0,18.9,72.1,-1.0,17.7,-1.0,1.78,24.0,13.41,47.9,34.45144
155,-1.0,38.8,39.9,29.43,31.2,56.998,54.2,-1.0,53.4,49.6,37.454838
156,27.68,-1.0,18.01,-1.0,37.25,27.31,34.42,31.66,14.12,47.93,36.41391
157,-1.0,-1.0,24.8,33.97,20.3,64.037,19.1,20.9,14.9,1.3,14.333791
158,-1.0,29.2,34.6,-1.0,-1.0,-1.0,-1.0,-1.0,12.02,106.6,27.47747
159,-1.0,-1.0,60.3,73.31,29.7,82.405,43.2,84.5,41.1,22.0,37.090794
160,17.08,-1.0,24.05,-1.0,15.34,51.94,12.65,11.95,19.38,3.46,16.374102
161,-1.0,26.9,61.2,-1.0,29.7,69.541,39.2,-1.0,25.2,37.6,46.207367
162,-1.0,17.6,12.8,-1.0,-1.0,-1.0,22.86,-1.0,5.49,19.4,17.298422
163,-1.0,87.5,450.7,151.24,52.0,247.07,109.7,120.2,132.5,143.8,142.18053
164,48.52,-1.0,-1.0,-1.0,58.54,81.97,54.4,62.38,69.49,43.95,52.790886
165,7.31,13.18,15.93,-1.0,13.23,-1.0,9.75,10.04,10.09,15.15,10.211292
166,-1.0,28.3,21.6,-1.0,-1.0,-1.0,-1.0,-1.0,15.05,22.0,29.245691
167,-1.0,30.7,52.9,38.48,29.8,64.693,40.6,-1.0,27.6,38.0,38.34864
168,-1.0,47.0,32.2,65.56,40.8,133.9,49.4,-1.0,63.5,40.2,51.571125
169,71.1,79.6,153.5,91.43,44.1,110.74,86.1,47.5,54.23,88.0,86.959946
170,-1.0,-1.0,11.54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.28,12.989087
171,-1.0,-1.0,32.01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.3,26.54668
172,-1.0,34.1,43.1,-1.0,31.3,-1.0,25.91,28.2,28.84,51.8,35.82118
173,-1.0,70.8,-1.0,-1.0,72.7,-1.0,112.33,77.7,81.61,185.4,122.53708
174,-1.0,33.1,65.4,-1.0,22.0,-1.0,-1.0,24.8,40.81,30.2,47.21107
175,-1.0,-1.0,63.6,62.73,38.3,93.144,39.2,62.8,37.1,17.1,42.827198
176,-1.0,-1.0,85.3,159.58,24.7,119.9,42.0,68.2,45.7,24.5,32.740704
177,21.77,34.11,-1.0,-1.0,45.62,54.9,25.98,28.96,39.63,33.22,33.428482
178,-1.0,65.0,112.4,-1.0,57.6,-1.0,81.16,62.5,62.75,118.8,84.02088
179,-1.0,7.6,68.5,-1.0,13.5,-1.0,38.95,10.6,13.83,21.5,34.44271
180,-1.0,-1.0,121.7,85.1,43.6,106.13,33.54,-1.0,-1.0,80.4,131.39384
181,-1.0,-1.0,26.4,37.76,34.6,77.618,19.3,57.3,30.6,30.3,22.643837
182,-1.0,-1.0,51.2,-1.0,-1.0,-1.0,85.98,-1.0,13.27,10.4,29.437881
183,-1.0,29.8,-1.0,89.2,-1.0,90.546,-1.0,-1.0,44.95,45.4,58.97504
184,-1.0,-1.0,97.62,-1.0,-1.0,122.51,-1.0,-1.0,-1.0,53.27,53.205044
185,-1.0,53.8,52.0,-1.0,72.7,58.177,47.3,58.6,61.9,73.2,61.443394
186,-1.0,40.4,150.2,195.66,55.3,122.37,65.6,64.0,69.24,62.4,83.81369
187,-1.0,-1.0,189.7,158.3,54.6,176.04,122.56,-1.0,-1.0,104.7,79.496155
188,-1.0,45.2,155.4,147.63,56.6,133.2,63.4,72.1,86.91,76.5,68.292915
189,-1.0,18.2,-1.0,60.2,-1.0,30.041,108.26,-1.0,-1.0,42.8,33.522724
190,92.79,43.19,52.47,-1.0,-1.0,-1.0,69.33,52.0,-1.0,49.84,49.823273
191,-1.0,42.6,-1.0,93.4,-1.0,78.747,-1.0,-1.0,-1.0,49.8,58.707386
192,-1.0,-1.0,44.08,-1.0,-1.0,15.76,-1.0,-1.0,-1.0,55.48,34.396374
193,-1.0,-1.0,57.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.17,34.452164
194,55.39,74.38,-1.0,41.28,45.08,21.29,72.96,52.14,60.36,37.45,67.81448
195,-1.0,17.3,-1.0,79.9,-1.0,77.841,64.51,-1.0,29.62,69.3,42.02986
196,-1.0,17.7,38.6,43.08,28.3,48.041,31.4,-1.0,25.3,29.8,29.580236
197,-1.0,11.5,41.7,-1.0,-1.0,-1.0,38.91,-1.0,20.75,31.8,41.075287
198,28.32,39.58,-1.0,-1.0,28.9,59.52,18.27,19.25,19.63,37.13,30.240488
199,-1.0,0.9,35.1,-1.0,-1.0,-1.0,23.71,-1.0,18.61,21.7,24.323933
200,-1.0,-1.0,58.25,101.52,-1.0,144.51,-1.0,-1.0,-1.0,35.99,47.438015
201,-1.0,-1.0,32.37,14.42,-1.0,32.37,-1.0,-1.0,-1.0,27.14,22.388594
202,11.38,28.61,-1.0,-1.0,32.59,32.84,48.57,13.08,37.1,21.13,39.6398
203,-1.0,18.1,57.1,-1.0,-1.0,-1.0,44.1,-1.0,-1.0,33.1,38.379856
204,-1.0,94.7,229.6,-1.0,-1.0,-1.0,112.8,86.8,115.91,114.4,88.470856
205,-1.0,29.6,28.2,-1.0,-1.0,-1.0,9.49,-1.0,12.85,30.2,14.1892605
206,-1.0,19.8,-1.0,-1.0,19.2,-1.0,-1.0,17.0,24.87,27.5,27.52587
207,-1.0,22.4,5.8,-1.0,-1.0,-1.0,-1.0,-1.0,15.74,16.6,15.71566
