,AGU,ATM,LDO,LPIN,OBL,SFE,TLA,VAL,CEN,MIR_med,MIR_pred
208,-1.0,34.6,46.5,65.0,40.7,71.733,45.8,-1.0,-1.0,43.68,59.95115
209,-1.0,-1.0,-1.0,19.7,26.8,36.037,16.2,15.8,30.1,28.56,26.555702
210,-1.0,67.6,67.8,90.7,61.2,123.36,70.0,-1.0,51.9,92.37,108.63727
211,20.0,23.9,-1.0,47.9,24.9,44.681,-1.0,15.5,21.06,52.38,43.2402
212,-1.0,-1.0,-1.0,13.4,8.5,25.916,1.0,19.6,11.5,20.27,17.442087
213,8.5,12.02,35.91,-1.0,9.88,123.83,23.19,15.99,16.3,51.75,36.29113
214,-1.0,5.0,12.2,14.5,10.4,25.325,14.0,-1.0,14.0,13.05,20.78065
215,-1.0,48.2,154.7,-1.0,-1.0,107.42,166.7,-1.0,-1.0,127.6,179.12929
216,-1.0,36.4,35.0,36.9,24.6,74.082,36.3,-1.0,23.3,44.13,50.110603
217,-1.0,-1.0,-1.0,16.1,10.2,23.384,12.6,21.3,12.6,31.07,16.924967
218,60.4,52.1,-1.0,99.4,44.0,131.41,-1.0,90.2,67.44,109.03,88.57041
219,-1.0,2.7,-1.0,-1.0,-1.0,22.048,16.72,-1.0,23.43,3.9,29.5246
220,-1.0,22.8,61.0,42.9,13.9,114.53,26.5,-1.0,23.8,54.09,40.949123
221,27.1,17.3,-1.0,25.2,18.2,29.028,-1.0,21.6,17.83,20.6,35.40936
222,-1.0,23.2,42.1,-1.0,-1.0,41.349,-1.0,-1.0,14.13,14.8,31.88875
223,19.1,25.9,-1.0,51.0,17.8,59.768,28.4,-1.0,14.73,56.3,45.16598
224,-1.0,-1.0,50.4,55.7,34.3,151.79,49.7,126.5,45.3,173.55,88.68037
225,-1.0,22.1,55.2,-1.0,-1.0,27.869,-1.0,-1.0,27.56,41.4,36.45733
226,-1.0,-1.0,-1.0,22.2,19.7,41.202,16.5,21.7,11.5,28.48,21.504461
227,15.7,85.2,-1.0,34.4,26.2,25.469,41.27,-1.0,22.71,34.0,33.427895
228,50.0,-1.0,-1.0,108.3,24.2,89.395,32.1,25.6,27.75,48.86,48.59186
229,-1.0,34.3,11.7,66.1,51.1,46.892,41.4,-1.0,23.6,40.3,41.35849
230,-1.0,-1.0,51.16,86.08,-1.0,49.05,-1.0,-1.0,-1.0,54.22,49.726227
231,-1.0,-1.0,28.0,74.7,42.2,169.43,39.5,78.9,39.2,57.35,74.820885
232,-1.0,35.9,29.2,145.9,37.2,85.955,74.4,-1.0,45.4,87.75,80.9612
233,-1.0,11.8,17.6,15.2,13.2,34.467,15.5,-1.0,13.4,14.04,19.069017
234,-1.0,-1.0,14.4,22.6,12.3,53.415,20.4,43.9,14.3,33.75,29.929283
235,-1.0,37.0,109.2,293.6,60.1,178.87,94.72,-1.0,-1.0,309.7,150.88739
236,63.8,72.7,-1.0,122.4,54.9,160.61,-1.0,58.7,71.25,135.61,101.834885
237,41.1,30.8,-1.0,73.9,30.3,72.815,-1.0,45.1,28.56,53.76,51.41716
238,-1.0,-1.0,35.99,58.25,-1.0,144.51,-1.0,-1.0,-1.0,101.52,34.408848
239,-1.0,58.0,51.1,337.5,43.1,233.64,101.0,117.6,147.8,355.83,121.00548
240,7.2,-1.0,-1.0,-1.0,14.2,-1.0,35.38,-1.0,15.06,39.3,22.390226
241,23.4,47.5,-1.0,-1.0,6.4,31.865,45.54,-1.0,11.42,22.1,35.48394
242,-1.0,-1.0,49.5,78.4,26.6,73.695,37.8,34.6,25.9,36.33,48.144043
243,-1.0,-1.0,25.2,13.8,12.4,27.642,18.7,49.6,10.1,12.74,25.468782
244,-1.0,45.5,-1.0,66.8,75.4,-1.0,87.9,-1.0,48.3,80.04,65.27736
245,22.25,27.45,23.03,-1.0,14.3,80.09,23.28,30.18,25.66,63.85,98.58005
246,-1.0,-1.0,39.6,62.1,30.4,118.06,29.1,48.6,31.8,49.84,52.921997
247,-1.0,-1.0,-1.0,62.2,26.2,46.468,33.7,35.9,20.8,30.0,45.12003
248,-1.0,-1.0,-1.0,29.6,12.7,19.536,37.4,12.1,19.3,40.03,33.150425
249,43.0,31.7,-1.0,40.3,43.5,73.656,57.9,27.3,44.89,42.35,84.30531
250,-1.0,-1.0,39.9,52.3,51.0,80.276,60.3,125.9,59.6,66.13,80.69476
251,-1.0,-1.0,-1.0,51.8,54.8,37.354,16.0,32.4,24.3,31.92,36.870808
252,20.4,80.2,-1.0,35.1,20.2,50.578,40.92,-1.0,24.63,34.3,41.687622
253,43.1,26.2,45.4,59.5,29.7,74.377,35.0,25.2,35.18,42.38,38.222355
254,-1.0,35.6,44.7,33.0,41.0,53.42,32.9,-1.0,18.5,50.73,42.583614
255,27.5,27.2,-1.0,40.2,32.6,50.773,-1.0,34.9,28.86,30.67,40.74978
256,-1.0,-1.0,16.4,38.5,23.8,61.772,39.0,21.8,31.3,26.8,35.851
257,-1.0,39.4,47.3,73.7,25.9,72.517,32.4,47.4,29.9,33.86,42.45585
258,60.4,-1.0,-1.0,25.9,25.3,41.937,-1.0,31.9,19.68,29.43,42.624138
259,-1.0,73.9,80.5,48.6,55.7,70.752,78.63,-1.0,-1.0,61.1,64.33323
260,-1.0,21.8,29.1,150.9,25.6,56.112,47.85,-1.0,-1.0,104.2,93.79944
261,66.0,-1.0,-1.0,123.0,29.6,-1.0,64.4,52.5,49.43,60.86,66.568695
262,52.3,36.3,-1.0,41.2,63.1,106.72,-1.0,74.1,53.28,55.98,70.54301
263,-1.0,69.9,64.0,90.1,42.3,191.29,37.3,71.8,40.8,51.62,76.00679
