,AGU,ATM,LDO,LPIN,MIR,SFE,TLA,VAL,CEN,OBL_med,OBL_pred
241,14.4,27.3,-1.0,28.6,-1.0,33.754,34.42,-1.0,24.4,20.3,19.886778
242,28.1,27.9,-1.0,33.1,45.1,61.876,-1.0,-1.0,40.18,26.7,26.837053
243,-1.0,17.5,25.8,74.8,54.29,84.586,32.6,-1.0,21.9,23.1,20.707455
244,34.1,-1.0,-1.0,49.4,61.03,62.402,-1.0,78.1,32.91,34.0,31.36489
245,-1.0,-1.0,-1.0,-1.0,-1.0,96.609,33.3,25.7,34.8,23.6,23.562786
246,-1.0,86.3,106.0,381.9,210.57,247.56,176.9,121.2,204.74,95.9,99.84573
247,-1.0,146.3,96.7,347.7,192.68,162.97,89.8,44.0,90.49,86.8,88.33195
248,-1.0,-1.0,13.3,11.7,17.77,14.071,9.9,0.2,19.2,10.4,20.95078
249,21.5,16.0,-1.0,-1.0,27.8,26.084,29.27,-1.0,16.53,13.0,13.114882
250,-1.0,-1.0,-1.0,131.3,48.03,51.828,35.6,32.4,27.9,21.4,25.014719
251,15.5,21.6,-1.0,-1.0,24.2,23.596,23.63,-1.0,18.75,13.0,15.708442
252,37.5,22.5,-1.0,32.1,35.79,43.639,-1.0,22.5,24.43,23.8,27.164274
253,24.58,-1.0,49.61,-1.0,-1.0,81.01,37.37,57.21,49.72,41.1,42.82437
254,-1.0,22.7,50.9,71.5,-1.0,-1.0,51.29,30.5,40.38,16.3,24.696852
255,-1.0,-1.0,-1.0,56.4,24.9,51.75,46.39,-1.0,-1.0,14.1,15.843987
256,25.8,24.6,-1.0,44.7,39.11,49.07,36.2,25.2,39.76,23.3,25.937298
257,39.6,47.4,-1.0,60.5,49.67,51.881,-1.0,52.8,40.61,28.6,34.518684
258,-1.0,81.7,116.7,180.0,63.91,170.36,101.0,78.6,101.0,73.6,71.5801
259,-1.0,-1.0,35.8,40.2,48.96,26.872,13.0,14.2,23.4,32.1,15.968689
260,-1.0,20.6,56.0,58.0,-1.0,-1.0,-1.0,13.9,17.97,14.7,19.938246
261,-1.0,46.2,99.8,68.1,-1.0,-1.0,80.15,101.7,68.85,58.7,59.31361
262,31.7,76.9,-1.0,39.5,36.9,54.757,59.2,-1.0,18.05,19.4,16.304558
263,-1.0,18.0,38.4,220.9,317.83,160.38,41.1,90.7,61.7,41.4,46.974396
264,30.8,9.8,-1.0,64.3,-1.0,58.347,26.43,-1.0,28.35,19.2,23.127449
265,19.18,28.83,45.65,-1.0,-1.0,50.7,27.34,21.75,24.53,24.77,26.733917
266,-1.0,49.9,64.8,67.9,-1.0,-1.0,-1.0,32.8,33.55,39.2,36.88772
267,72.5,-1.0,111.1,183.7,167.02,224.3,117.7,58.5,129.04,50.3,71.740944
268,-1.0,92.2,166.1,324.8,110.95,150.08,109.1,-1.0,89.4,76.5,88.60433
269,-1.0,29.4,65.0,126.5,37.82,98.487,50.3,-1.0,27.2,58.1,28.86263
