,AGU,ATM,LDO,LPIN,MIR,OBL,TLA,VAL,CEN,SFE_med,SFE_pred
228,24.7,21.4,-1.0,26.3,19.93,16.1,-1.0,26.4,24.26,44.398,41.49067
229,-1.0,23.0,21.7,42.4,-1.0,22.4,36.2,34.3,41.5,46.613,86.05415
230,-1.0,-1.0,5.254,11.89,-1.0,-1.0,-1.0,-1.0,-1.0,69.27,91.43738
231,-1.0,-1.0,107.4,142.4,126.9,67.3,118.5,95.8,81.4,124.35,127.88936
232,-1.0,-1.0,40.8,138.5,165.85,59.9,67.4,-1.0,75.8,190.56,146.13446
233,-1.0,50.7,39.9,146.6,124.49,44.7,89.2,168.0,86.5,182.7,154.11055
234,-1.0,42.7,62.2,-1.0,251.5,-1.0,106.2,-1.0,-1.0,115.97,141.43568
235,19.0,-1.0,-1.0,-1.0,61.01,36.8,44.9,18.9,39.61,77.068,56.94112
236,-1.0,39.5,47.4,54.3,48.47,31.5,-1.0,-1.0,70.6,180.88,84.1703
237,-1.0,27.1,34.1,85.7,-1.0,30.2,36.8,35.5,37.3,69.582,75.48107
238,-1.0,29.7,34.7,48.4,24.7,23.5,81.12,-1.0,-1.0,51.008,46.496193
239,-1.0,-1.0,35.99,58.25,101.52,-1.0,-1.0,-1.0,-1.0,144.51,55.02337
240,15.0,53.0,-1.0,-1.0,29.9,11.6,49.61,-1.0,17.0,16.899,39.03417
241,26.9,-1.0,-1.0,48.9,26.37,16.5,29.2,21.8,41.88,47.299,52.49746
242,-1.0,35.2,35.6,73.1,68.0,43.2,41.4,-1.0,30.7,119.38,92.46866
243,-1.0,-1.0,-1.0,33.0,24.01,19.9,12.7,22.6,11.5,48.681,47.325176
244,28.7,43.2,-1.0,110.3,72.5,-1.0,40.75,-1.0,15.47,52.36,65.380905
245,-1.0,-1.0,22.8,31.1,26.46,14.2,25.4,37.2,24.4,70.659,56.631374
246,-1.0,27.9,34.0,-1.0,22.5,-1.0,-1.0,-1.0,24.47,30.752,50.01796
247,54.6,53.3,-1.0,103.2,61.38,37.0,-1.0,53.8,52.77,128.89,105.69002
248,-1.0,31.7,35.0,58.5,46.11,33.4,35.6,-1.0,31.5,55.406,67.57597
249,-1.0,-1.0,-1.0,76.2,44.68,23.5,47.2,48.3,46.5,127.16,72.31965
250,18.82,11.55,11.56,-1.0,-1.0,10.96,10.83,15.57,13.25,51.71,54.37363
