,AGU,ATM,LDO,MIR,OBL,SFE,TLA,VAL,CEN,LPIN_med,LPIN_pred
193,71.4,-1.0,-1.0,155.18,63.6,134.3,65.8,75.7,109.89,162.7,190.1286
194,-1.0,45.4,79.8,54.8,29.6,58.499,33.07,-1.0,-1.0,59.7,112.043686
195,19.9,15.9,-1.0,26.03,22.6,54.605,-1.0,24.3,26.42,36.2,47.193813
196,-1.0,9.6,21.8,-1.0,-1.0,-1.0,11.68,-1.0,14.69,15.1,23.007248
197,-1.0,58.0,47.8,-1.0,45.7,-1.0,44.09,39.0,34.93,58.4,79.09518
198,-1.0,-1.0,-1.0,56.5,-1.0,43.43,-1.0,-1.0,-1.0,30.28,41.288033
199,-1.0,-1.0,-1.0,48.72,23.9,20.469,27.4,15.7,35.6,23.2,46.995586
200,-1.0,-1.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.48,12.1,19.591951
201,-1.0,-1.0,36.78,39.97,-1.0,-1.0,-1.0,-1.0,-1.0,100.47,68.11251
202,-1.0,-1.0,50.65,-1.0,-1.0,102.66,-1.0,12.3,6.03,28.5,43.785343
203,40.5,55.5,96.0,142.65,46.8,152.75,63.4,95.1,87.7,205.4,161.90654
204,-1.0,28.4,-1.0,51.35,45.8,68.348,65.5,35.4,48.22,103.4,81.99099
205,30.8,25.1,-1.0,51.47,25.2,58.55,32.8,30.8,26.41,66.1,55.45315
206,-1.0,44.7,53.5,53.34,36.5,51.457,51.2,67.7,64.6,42.1,44.42164
207,-1.0,44.2,26.8,75.09,40.8,38.379,25.5,-1.0,24.5,58.4,58.67545
208,-1.0,28.7,54.5,42.11,24.4,65.656,42.6,-1.0,39.79,103.2,68.34402
209,-1.0,-1.0,-1.0,17.95,10.6,21.632,9.5,7.9,17.1,28.6,17.339247
210,-1.0,23.1,26.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.8,23.050205
211,-1.0,37.7,50.9,-1.0,-1.0,-1.0,47.11,8.1,40.94,215.7,119.76408
212,25.0,59.5,-1.0,50.2,40.7,49.58,62.55,-1.0,53.63,79.7,66.45307
213,27.7,-1.0,-1.0,-1.0,43.6,111.71,78.5,54.0,-1.0,108.6,99.60921
214,-1.0,-1.0,102.32,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,77.47,200.96744
215,-1.0,14.8,10.5,-1.0,-1.0,-1.0,12.26,-1.0,8.48,5.8,14.293123
216,-1.0,-1.0,-1.0,29.6,15.8,48.802,26.0,39.8,21.1,24.4,25.803827
217,-1.0,16.9,66.3,63.25,40.5,61.754,58.0,113.8,60.22,40.8,50.685524
218,35.5,20.1,39.7,45.15,32.3,110.45,29.6,-1.0,25.44,34.6,68.746544
219,-1.0,-1.0,-1.0,18.52,12.4,41.386,24.8,28.7,22.4,16.6,25.206823
220,-1.0,-1.0,-1.0,76.02,30.5,181.28,32.8,50.0,37.5,115.0,90.91917
221,-1.0,-1.0,-1.0,-1.0,-1.0,47.22,-1.0,-1.0,-1.0,38.67,69.68158
222,-1.0,26.0,34.3,-1.0,25.8,-1.0,28.32,20.0,24.44,75.4,47.85261
223,-1.0,31.3,48.2,-1.0,42.1,-1.0,0.28,60.1,39.28,74.9,65.32327
224,-1.0,29.2,106.6,-1.0,-1.0,-1.0,-1.0,-1.0,12.02,34.6,32.621593
225,-1.0,-1.0,55.01,-1.0,-1.0,205.3,-1.0,-1.0,-1.0,44.32,51.039555
226,-1.0,35.9,34.8,44.79,42.7,59.569,33.2,-1.0,38.9,52.1,46.1682
227,-1.0,24.4,41.7,-1.0,65.2,-1.0,-1.0,22.4,20.91,64.7,59.25527
228,-1.0,44.8,47.5,43.95,52.8,64.27,44.8,-1.0,40.3,58.2,59.11948
229,15.6,-1.0,-1.0,-1.0,12.6,42.814,31.9,17.1,17.97,24.5,32.522106
230,-1.0,-1.0,-1.0,23.55,23.4,63.16,27.2,37.7,28.2,20.4,33.164997
231,34.5,56.8,-1.0,86.0,31.0,79.071,-1.0,-1.0,46.87,95.0,98.91765
232,-1.0,32.4,64.0,-1.0,64.3,-1.0,82.61,59.2,70.92,159.6,150.32959
233,-1.0,9.4,19.5,5.1,-1.0,-1.0,-1.0,-1.0,-1.0,18.5,21.702974
234,-1.0,-1.0,-1.0,18.07,8.1,24.624,11.1,19.5,14.3,16.2,13.760881
235,-1.0,-1.0,58.1,87.34,47.5,106.02,65.7,124.1,66.7,121.5,92.674965
236,-1.0,22.2,41.5,-1.0,40.8,-1.0,39.42,56.2,34.62,39.5,50.531322
237,-1.0,-1.0,40.49,-1.0,-1.0,8.15,-1.0,-1.0,-1.0,36.4,76.62164
238,-1.0,22.9,32.0,-1.0,28.7,-1.0,20.99,17.7,18.11,43.7,46.041016
239,-1.0,16.8,8.8,-1.0,-1.0,-1.0,18.65,-1.0,14.55,8.2,16.489473
240,-1.0,34.2,42.1,36.62,34.0,47.795,34.5,-1.0,48.7,27.3,42.572407
241,-1.0,-1.0,-1.0,10.24,15.3,22.804,20.2,25.1,19.3,13.4,13.064264
242,-1.0,-1.0,36.0,37.6,16.6,55.571,3.77,-1.0,-1.0,53.2,44.187984
243,19.1,-1.0,-1.0,-1.0,20.1,15.327,22.28,38.2,21.56,14.1,14.080968
244,-1.0,20.9,53.2,49.44,37.0,69.443,36.5,-1.0,48.7,39.6,53.795135
245,-1.0,17.4,60.1,-1.0,-1.0,-1.0,-1.0,-1.0,26.13,52.6,50.894077
246,-1.0,5.5,18.4,-1.0,8.0,-1.0,45.03,-1.0,5.05,16.8,22.189766
247,26.24,-1.0,38.31,-1.0,29.04,23.56,25.13,39.79,18.7,21.28,26.416117
248,-1.0,17.3,30.4,-1.0,17.0,-1.0,15.91,22.7,17.92,51.3,34.55804
249,-1.0,45.8,53.6,-1.0,45.1,150.63,54.2,-1.0,37.0,124.9,96.572685
250,-1.0,33.1,33.4,82.95,33.1,37.421,39.7,-1.0,-1.0,82.0,65.01436
251,-1.0,70.2,94.4,85.32,95.3,121.37,70.3,-1.0,76.7,123.6,117.94852
252,31.9,44.3,-1.0,53.53,26.2,62.428,42.1,53.8,30.32,79.2,62.17113
253,-1.0,46.1,55.0,-1.0,36.1,63.454,-1.0,47.8,55.3,78.3,60.241566
254,-1.0,15.7,11.1,-1.0,-1.0,-1.0,25.47,-1.0,10.94,28.7,17.012152
255,-1.0,-1.0,-1.0,96.22,82.0,81.458,58.8,55.3,23.9,89.4,76.77761
256,-1.0,7.1,28.0,-1.0,-1.0,-1.0,77.31,-1.0,13.3,20.8,24.206573
257,-1.0,27.4,59.8,-1.0,27.3,-1.0,-1.0,17.7,30.39,41.7,77.00151
258,-1.0,-1.0,25.4,-1.0,-1.0,-1.0,-1.0,-1.0,13.39,27.4,25.796478
259,-1.0,-1.0,93.8,77.02,62.6,107.57,83.2,73.2,72.7,216.0,146.13583
260,-1.0,24.3,34.0,-1.0,18.4,-1.0,-1.0,18.6,18.28,39.8,43.47913
261,-1.0,-1.0,-1.0,-1.0,-1.0,31.93,-1.0,-1.0,-1.0,39.62,60.083134
262,-1.0,48.3,-1.0,-1.0,41.0,-1.0,-1.0,38.8,37.86,115.1,89.4882
263,-1.0,57.6,50.2,87.34,62.5,127.19,49.3,-1.0,-1.0,42.7,117.545105
264,-1.0,-1.0,44.33,-1.0,-1.0,59.36,-1.0,-1.0,-1.0,90.77,56.96954
265,-1.0,37.0,-1.0,-1.0,57.4,-1.0,77.61,36.9,59.61,85.0,78.29918
266,-1.0,34.6,32.3,-1.0,-1.0,-1.0,50.61,-1.0,8.7,27.9,33.967953
267,-1.0,-1.0,93.02,-1.0,-1.0,30.78,-1.0,-1.0,-1.0,40.47,130.68834
268,-1.0,63.1,49.3,-1.0,41.3,-1.0,46.32,40.5,-1.0,62.4,86.87897
269,-1.0,-1.0,30.0,31.9,17.5,40.037,-1.0,-1.0,-1.0,82.8,31.784449
