,0,1,2,3,4,5,6,7,8,9,10,11,12
model255-1,50,50,7,relu,1.0,0.8148065120549627,124.90246811564613,7.6367518143583,11.175977277878035,0.7796748380862722,132.93315841984003,7.780899841823138,11.529664280448067
model255-0.75,50,50,7,relu,0.75,0.8135240803485073,125.7673953174793,7.408742650112185,11.214606338052143,0.7820717839064811,131.48696146405902,7.559777560349356,11.46677641990368
model255-0.5,50,50,7,relu,0.5,0.8048745897743297,131.60098446062696,7.738321975262269,11.471747227891091,0.7768956901312856,134.60995698503106,7.73938361948565,11.602153118496199
model255-0.1,50,50,7,relu,0.1,0.7964139508725229,137.30720389845374,8.00177022849129,11.717815662419927,0.7677039896044296,140.15576832891526,8.016850019609944,11.838740149564702
model255-0.05,50,50,7,relu,0.05,0.8109075616379233,127.53208827968376,7.810100390387759,11.293010594154412,0.7732796483412974,136.79169533913466,7.9819670644904726,11.69579819162141
model255-0.01,50,50,7,relu,0.01,0.8084289350158865,129.20378087570762,7.501538299004717,11.366784104385356,0.7823135356512237,131.34110057961433,7.512650951825148,11.460414502958187
model255-0.005,50,50,7,relu,0.005,0.8078901424953868,129.5671657676895,7.431900744073354,11.382757388598312,0.7852396438240102,129.57563358570414,7.513457961513268,11.383129340638458
model259-1,50,50,8,relu,1.0,0.8128778904652979,126.20321361854275,7.45562913352208,11.234020367550645,0.780155318988325,132.6432603286937,7.620250705472125,11.517085583110587
model259-0.75,50,50,8,relu,0.75,0.8124883524381252,126.46593484896317,7.325587472433155,11.245707396556393,0.7898615554224993,126.78700381056743,7.352372730454841,11.25997352619301
model259-0.5,50,50,8,relu,0.5,0.8043096968842023,131.98197256653066,7.526401960810776,11.48834072294736,0.7685165533373908,139.66550810397445,7.6504494266166745,11.818016250791604
model259-0.1,50,50,8,relu,0.1,0.8149110585783335,124.83195743545527,7.6234437711109155,11.172822268140457,0.7854907091858709,129.42415333155577,7.739312415768765,11.3764736773552
model259-0.05,50,50,8,relu,0.05,0.7974365849930041,136.61749538308044,8.13753818879112,11.688348702151234,0.7682914604236242,139.80131788486838,8.215912080926692,11.823760733576622
model259-0.01,50,50,8,relu,0.01,0.8001809133176121,134.7666021099598,7.674471393700498,11.608901847718405,0.7735395469382371,136.63488555372476,7.649849707075216,11.689092588979042
model259-0.005,50,50,8,relu,0.005,0.7978951963886916,136.30818809661514,7.997968576326125,11.675109768075636,0.7742273480154295,136.21990086127485,8.018210695963992,11.67132815326837
model262-1,50,50,8,relu,1.0,0.7985333287915457,135.87780410749392,7.5657034349334475,11.65666350665978,0.7748036042938979,135.8722167089488,7.60317506655284,11.65642383876585
model262-0.75,50,50,8,relu,0.75,0.7987760801840056,135.7140821084475,8.08042156186663,11.649638711498632,0.7706293533507305,138.39075048463047,8.152218196576259,11.763959813116946
model262-0.5,50,50,8,relu,0.5,0.7942749848989438,138.74981471744056,7.677048552429861,11.779211124580481,0.7647929170644524,141.91216357568223,7.827178984158171,11.912689183206377
model262-0.1,50,50,8,relu,0.1,0.7822442026078531,146.86389269174387,7.78221579679333,12.118741382327782,0.752288791975604,149.45652585777253,7.90279933381267,12.22524134149394
