,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN_med,CEN_pred
212,-1.0,68.5,96.6,98.5,88.32,87.0,126.57,90.4,-1.0,79.8,86.308556
213,-1.0,-1.0,61.3,109.5,140.89,33.5,145.42,101.2,-1.0,51.0,70.20958
214,-1.0,62.3,57.1,87.4,75.92,63.9,97.365,80.7,-1.0,85.3,73.144844
215,20.2,-1.0,-1.0,45.0,87.53,15.7,50.112,41.0,24.1,33.42,28.541653
216,18.8,45.7,-1.0,10.5,26.2,11.4,47.223,3.61,-1.0,5.82,15.003397
217,-1.0,42.3,17.2,19.3,-1.0,-1.0,-1.0,29.01,-1.0,22.69,20.642813
218,28.38,-1.0,60.01,-1.0,26.22,41.49,65.59,55.6,22.91,39.85,43.642384
219,-1.0,7.7,-1.0,-1.0,14.4,-1.0,19.484,11.48,-1.0,10.33,11.7839575
220,-1.0,13.5,-1.0,-1.0,33.8,-1.0,30.759,2.57,-1.0,17.5,13.439921
221,-1.0,2.2,45.1,-1.0,-1.0,31.5,-1.0,18.29,36.5,31.47,32.765236
222,-1.0,-1.0,34.1,34.0,31.92,27.8,67.581,42.9,48.4,51.9,35.568527
223,53.0,37.4,-1.0,53.4,60.82,52.9,95.191,-1.0,59.5,62.7,54.676987
224,-1.0,1.9,24.5,41.0,-1.0,-1.0,-1.0,20.28,-1.0,12.35,19.35411
225,36.1,-1.0,-1.0,-1.0,48.7,22.6,69.769,93.74,-1.0,24.75,45.522987
226,96.89,115.34,26.77,-1.0,-1.0,77.37,71.53,55.34,0.04,93.77,72.18852
227,-1.0,31.0,22.6,28.4,-1.0,-1.0,-1.0,18.02,-1.0,16.85,18.421331
228,24.57,-1.0,29.2,-1.0,60.41,32.73,38.74,24.8,22.51,31.12,33.089413
229,-1.0,48.6,29.3,76.9,-1.0,43.1,-1.0,34.46,36.4,43.67,45.65925
230,-1.0,32.4,39.9,50.6,62.76,38.9,63.454,32.7,-1.0,32.6,39.47116
